R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR_pct,B_SIG_STR_pct,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_PASS,B_PASS,R_REV,B_REV,date,location,R_SIG_STR._ATT,R_SIG_STR._LANDED,B_SIG_STR._ATT,B_SIG_STR._LANDED,R_TOTAL_STR._ATT,R_TOTAL_STR._LANDED,B_TOTAL_STR._ATT,B_TOTAL_STR._LANDED,R_TD_ATT,R_TD_LANDED,B_TD_ATT,B_TD_LANDED,R_HEAD_ATT,R_HEAD_LANDED,B_HEAD_ATT,B_HEAD_LANDED,R_BODY_ATT,R_BODY_LANDED,B_BODY_ATT,B_BODY_LANDED,R_LEG_ATT,R_LEG_LANDED,B_LEG_ATT,B_LEG_LANDED,R_DISTANCE_ATT,R_DISTANCE_LANDED,B_DISTANCE_ATT,B_DISTANCE_LANDED,R_CLINCH_ATT,R_CLINCH_LANDED,B_CLINCH_ATT,B_CLINCH_LANDED,R_GROUND_ATT,R_GROUND_LANDED,B_GROUND_ATT,B_GROUND_LANDED,title_bout,total_time_fought(sec),no_of_rounds,Red_win,R_Height,R_Weight,R_Reach,R_KO_win_%,R_Sub_win_%,R_Stance_Orthodox,R_Stance_Southpaw,R_num_fights,R_record,R_age,B_Height,B_Weight,B_Reach,B_KO_win_%,B_Sub_win_%,B_Stance_Orthodox,B_Stance_Southpaw,B_num_fights,B_record,B_age,Bantamweight,Featherweight,Flyweight,Heavyweight,Light Heavyweight,Lightweight,Middleweight,Welterweight,Women's Bantamweight,Women's Featherweight,Women's Flyweight,Women's Strawweight
Weili Zhang,Jessica Aguilar,0,0,0.77,0.75,0.33,0.0,2,0,2,0,0,0,2018-11-24,0,58,45,12,9,79,63,14,11,3,1,1,0,48,36,2,0,8,7,9,8,2,2,1,1,9,3,2,0,3,3,10,9,46,39,0,0,0,221,3,1,64.0,115.0,63.0,0.0,0.0,0,0,1,1.0,29.28191543974209,63.0,115.0,63.0,0.0,0.0,1,0,3,0.3333333333333333,36.54832063628959,0,0,0,0,0,0,0,0,0,0,0,1
Marina Rodriguez,Jessica Aguilar,1,0,0.58,0.43,0.0,0.0,0,1,0,1,1,0,2019-03-30,0,202,118,114,50,213,129,127,63,1,0,1,0,123,58,76,23,53,38,38,27,26,22,0,0,143,67,75,22,47,39,38,27,12,12,1,1,0,900,3,1,66.0,115.0,65.0,0.0,0.0,1,0,1,0.0,31.918519887472023,63.0,115.0,63.0,0.0,0.25,1,0,4,0.25,36.89329691917014,0,0,0,0,0,0,0,0,0,0,0,1
Beneil Dariush,Drakkar Klose,1,0,0.6,0.6,0.33,0.0,2,0,1,0,0,0,2020-03-07,1,20,12,25,15,28,17,37,27,3,1,0,0,16,8,22,12,3,3,0,0,1,1,3,3,20,12,22,13,0,0,3,2,0,0,0,0,0,360,3,1,70.0,155.0,72.0,0.25,0.375,0,1,16,0.6875,30.83704661971156,69.0,155.0,70.0,0.0,0.0,1,0,6,0.8333333333333334,31.9951812836677,0,0,0,0,0,1,0,0,0,0,0,0
Lando Vannata,Drakkar Klose,0,0,0.37,0.56,0.25,0.25,0,0,1,0,0,0,2018-07-07,1,133,50,98,55,150,66,118,73,4,1,4,1,80,18,68,29,30,15,10,9,23,17,20,17,114,37,77,36,19,13,21,19,0,0,0,0,0,900,3,0,69.0,155.0,71.0,0.25,0.25,1,0,4,0.25,26.314024244166546,69.0,155.0,70.0,0.0,0.0,1,0,3,0.6666666666666666,30.3277959164117,0,0,0,0,0,1,0,0,0,0,0,0
Marc Diakiese,Drakkar Klose,0,0,0.44,0.49,0.33,0.42,0,0,1,1,1,0,2017-07-07,1,77,34,79,39,107,63,136,84,6,2,7,3,46,12,43,10,23,16,14,10,8,6,22,19,65,24,53,25,10,8,14,9,2,2,12,5,0,900,3,0,70.0,155.0,73.0,0.6666666666666666,0.0,1,0,3,1.0,24.30987631505096,69.0,155.0,70.0,0.0,0.0,1,0,1,1.0,29.328459858860892,0,0,0,0,0,1,0,0,0,0,0,0
Christos Giagos,Drakkar Klose,0,0,0.56,0.61,0.4,0.28,1,0,2,2,0,0,2019-08-17,0,155,87,160,99,186,113,223,159,5,2,7,2,117,55,114,56,33,29,30,29,5,3,16,14,127,69,93,39,23,16,40,38,5,2,27,22,0,900,3,0,70.0,155.0,71.0,0.0,0.5,1,0,6,0.5,29.563919861461905,69.0,155.0,70.0,0.0,0.0,1,0,5,0.8,31.439386161249033,0,0,0,0,0,1,0,0,0,0,0,0
Bobby Green,Drakkar Klose,0,0,0.59,0.44,0.25,0.0,1,0,5,0,0,0,2018-12-15,0,154,92,131,58,176,110,143,69,4,1,6,0,91,39,89,26,31,27,16,12,32,26,26,20,126,69,114,45,15,13,11,9,13,10,6,4,0,900,3,0,70.0,155.0,71.0,0.2222222222222222,0.1111111111111111,1,0,9,0.5555555555555556,32.26623407735956,69.0,155.0,70.0,0.0,0.0,1,0,4,0.75,30.768598944536848,0,0,0,0,0,1,0,0,0,0,0,0
David Teymur,Drakkar Klose,0,0,0.37,0.39,0.33,0.28,0,0,0,1,0,0,2017-12-02,0,137,52,100,39,164,71,118,55,3,1,7,2,81,16,82,22,31,14,15,15,25,22,3,2,132,47,88,32,4,4,11,6,1,1,1,1,0,900,3,1,69.0,155.0,73.0,0.6666666666666666,0.0,0,1,3,1.0,28.589224966973998,69.0,155.0,70.0,0.0,0.0,1,0,2,1.0,29.733670095895192,0,0,0,0,0,1,0,0,0,0,0,0
Beneil Dariush,Drew Dober,0,0,0.56,0.53,0.4,0.0,1,0,4,0,0,0,2019-03-09,0,65,37,58,31,69,41,66,38,5,2,0,0,47,22,44,17,14,12,9,9,4,3,5,5,39,17,43,17,14,10,15,14,12,10,0,0,0,581,3,1,70.0,155.0,72.0,0.2857142857142857,0.2857142857142857,0,1,14,0.6428571428571429,29.840448469167743,68.0,155.0,70.0,0.18181818181818182,0.2727272727272727,0,1,11,0.5454545454545454,30.38529196355846,0,0,0,0,0,1,0,0,0,0,0,0
Scott Holtzman,Drew Dober,0,0,0.55,0.4,0.4,0.35,0,0,1,5,0,0,2016-01-02,1,69,38,88,36,115,79,119,63,5,2,14,5,62,33,78,29,7,5,6,4,0,0,4,3,40,17,61,22,14,10,21,10,15,11,6,4,0,900,3,0,69.0,155.0,69.0,0.0,1.0,1,0,1,1.0,32.2580203563386,68.0,155.0,70.0,0.0,0.4,0,1,5,0.2,27.203844021437813,0,0,0,0,0,1,0,0,0,0,0,0
Olivier Aubin-Mercier,Drew Dober,0,1,0.5,0.33,0.0,0.0,1,0,1,0,1,0,2016-12-10,0,53,27,71,24,56,30,80,33,0,0,0,0,44,21,46,9,4,2,21,13,5,4,4,2,53,27,59,15,0,0,0,0,0,0,12,9,0,477,3,1,69.0,155.0,70.0,0.0,0.5,0,1,6,0.6666666666666666,27.795231934947328,68.0,155.0,70.0,0.14285714285714285,0.2857142857142857,0,1,7,0.42857142857142855,28.14294612483487,0,0,0,0,0,1,0,0,0,0,0,0
Joshua Burkman,Drew Dober,0,1,0.61,0.51,0.0,0.0,0,0,0,0,0,0,2017-07-29,0,18,11,29,15,18,11,34,20,1,0,1,0,7,4,17,5,6,4,6,4,5,3,6,6,14,7,21,9,4,4,7,5,0,0,1,1,0,184,3,0,70.0,170.0,72.0,0.11764705882352941,0.29411764705882354,1,0,17,0.35294117647058826,37.301245063211425,68.0,155.0,70.0,0.125,0.375,0,1,8,0.375,28.775402643449215,0,0,0,0,0,1,0,0,0,0,0,0
Efrain Escudero,Drew Dober,0,0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,2015-06-13,0,1,1,3,0,1,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,54,3,1,69.0,155.0,70.0,0.1111111111111111,0.2222222222222222,1,0,9,0.4444444444444444,29.40785916206356,68.0,155.0,70.0,0.0,0.25,0,1,4,0.25,26.648048899019145,0,0,0,0,0,1,0,0,0,0,0,0
Leandro Silva,Drew Dober,0,0,0.52,0.3,0.5,0.0,1,0,2,0,0,0,2015-03-21,0,48,25,72,22,52,28,77,26,4,2,0,0,31,11,55,14,9,9,4,2,8,5,13,6,43,22,56,15,5,3,16,7,0,0,0,0,0,465,3,0,69.0,155.0,72.0,0.0,0.3333333333333333,1,0,3,0.3333333333333333,29.35583892893078,68.0,155.0,70.0,0.0,0.3333333333333333,0,1,3,0.3333333333333333,26.41806471043211,0,0,0,0,0,1,0,0,0,0,0,0
Jamie Varner,Drew Dober,0,0,0.4,0.41,0.0,0.0,0,1,0,2,0,0,2014-12-13,0,10,4,12,5,10,4,14,7,2,0,0,0,7,2,9,3,3,2,3,2,0,0,0,0,8,2,10,3,2,2,1,1,0,0,1,1,0,112,3,0,68.0,155.0,72.0,0.375,0.375,1,0,8,0.375,30.168997310006365,68.0,155.0,70.0,0.0,0.0,0,1,2,0.0,26.149749823747236,0,0,0,0,0,1,0,0,0,0,0,0
Damir Ismagulov,Thiago Moises,1,0,0.37,0.31,0.0,0.0,0,0,0,0,0,0,2019-08-31,0,188,71,114,36,191,73,115,37,5,0,3,0,132,28,88,16,34,21,10,7,22,22,16,13,168,58,110,32,3,2,4,4,17,11,0,0,0,900,3,1,69.0,155.0,70.0,0.0,0.0,1,0,2,1.0,28.572797524932067,69.0,155.0,70.0,0.0,0.0,1,0,2,0.5,24.441295851386407,0,0,0,0,0,1,0,0,0,0,0,0
Beneil Dariush,Rashid Magomedov,0,0,0.5,0.52,0.0,0.5,0,0,0,1,0,0,2016-11-05,0,120,60,78,41,134,73,129,79,5,0,2,1,61,20,55,24,44,28,20,14,15,12,3,3,71,25,57,28,49,35,19,13,0,0,2,0,0,900,3,1,70.0,155.0,72.0,0.2222222222222222,0.4444444444444444,0,1,9,0.7777777777777778,27.50227588519956,69.0,155.0,70.0,0.25,0.0,1,0,4,1.0,31.934947329513953,0,0,0,0,0,1,0,0,0,0,0,0
Gilbert Burns,Rashid Magomedov,0,2,0.36,0.55,0.4,1.0,0,0,1,0,0,0,2015-11-07,0,77,28,145,80,78,29,160,94,5,2,2,2,55,14,112,59,11,5,26,14,11,9,7,7,70,27,129,68,5,1,7,6,2,0,9,6,0,900,3,0,70.0,170.0,71.0,0.0,0.6666666666666666,1,0,3,1.0,29.30108078879101,69.0,155.0,70.0,0.3333333333333333,0.0,1,0,3,1.0,30.938349178970135,0,0,0,0,0,1,0,0,0,0,0,0
Bobby Green,Rashid Magomedov,0,0,0.52,0.39,0.0,0.0,0,0,0,0,0,0,2017-04-15,0,143,75,189,75,176,104,202,88,6,0,1,0,71,14,140,43,33,27,41,28,39,34,8,4,124,60,180,69,19,15,8,5,0,0,1,1,0,900,3,0,70.0,155.0,71.0,0.3333333333333333,0.16666666666666666,1,0,6,0.6666666666666666,30.59884871010356,69.0,155.0,70.0,0.2,0.0,1,0,5,0.8,32.375750357639106,0,0,0,0,0,1,0,0,0,0,0,0
Elias Silverio,Rashid Magomedov,0,2,0.47,0.56,0.0,0.5,0,0,0,0,0,0,2014-12-20,0,118,56,161,91,119,57,172,102,0,0,2,1,56,13,108,52,28,17,30,19,34,26,23,20,113,53,136,72,5,3,12,10,0,0,13,9,0,897,3,0,71.0,155.0,73.0,0.0,0.3333333333333333,1,0,3,1.0,28.244248684093446,69.0,155.0,70.0,0.0,0.0,1,0,2,1.0,30.056743122719837,0,0,0,0,0,1,0,0,0,0,0,0
Rodrigo Damm,Rashid Magomedov,0,1,0.35,0.39,0.0,0.0,0,0,0,0,0,0,2014-05-31,0,104,37,161,63,117,42,164,66,4,0,0,0,71,14,93,26,11,2,42,19,22,21,26,18,96,32,151,56,8,5,3,2,0,0,7,5,0,900,3,0,67.0,155.0,71.0,0.0,0.25,1,0,4,0.75,34.32240223960793,69.0,155.0,70.0,0.0,0.0,1,0,1,1.0,29.500948000301168,0,0,0,0,0,1,0,0,0,0,0,0
Beneil Dariush,James Vick,2,0,0.65,0.3,0.0,0.0,0,0,0,0,0,0,2016-06-04,0,70,46,30,9,72,48,31,10,2,0,0,0,56,33,17,5,10,9,12,4,4,4,1,0,27,16,25,5,16,11,5,4,27,19,0,0,0,256,3,1,70.0,155.0,72.0,0.125,0.5,0,1,8,0.75,27.08063820612333,75.0,155.0,76.0,0.0,0.4,1,0,5,1.0,29.2791775327351,0,0,0,0,0,1,0,0,0,0,0,0
Jake Matthews,James Vick,0,0,0.14,0.38,0.5,0.0,0,1,0,1,0,0,2015-05-09,0,28,4,26,10,28,4,35,19,2,1,1,0,25,4,17,5,3,0,4,2,0,0,5,3,28,4,24,8,0,0,2,2,0,0,0,0,0,293,3,0,71.0,170.0,73.0,0.0,1.0,1,0,2,1.0,20.720480228889027,75.0,155.0,76.0,0.0,0.3333333333333333,1,0,3,1.0,28.205917985995605,0,0,0,0,0,1,0,0,0,0,0,0
Niko Price,James Vick,1,0,0.5,0.5,0.0,0.0,0,0,1,0,0,0,2019-10-12,0,22,11,18,9,28,15,19,10,1,0,0,0,21,10,15,6,0,0,1,1,1,1,2,2,9,2,11,5,0,0,0,0,13,9,7,4,0,104,3,1,72.0,170.0,76.0,0.5555555555555556,0.3333333333333333,1,0,9,0.5555555555555556,30.03483986666393,75.0,155.0,76.0,0.38461538461538464,0.23076923076923078,1,0,13,0.6923076923076923,32.63311361629602,0,0,0,0,0,0,0,1,0,0,0,0
Justin Gaethje,James Vick,1,0,0.46,0.5,0.0,0.0,0,0,0,0,0,0,2018-08-25,0,15,7,20,10,15,7,21,11,0,0,0,0,8,3,9,3,3,2,8,5,4,2,3,2,14,6,20,10,0,0,0,0,1,1,0,0,0,87,5,1,71.0,155.0,70.0,1.0,0.0,1,0,3,0.3333333333333333,29.77747660800701,75.0,155.0,76.0,0.3,0.3,1,0,10,0.9,31.50235802240977,0,0,0,0,0,1,0,0,0,0,0,0
Abel Trujillo,James Vick,0,0,0.33,0.37,0.2,0.5,0,3,0,2,0,0,2017-02-04,0,33,11,67,25,36,14,71,29,5,1,2,1,30,9,51,13,2,1,12,8,1,1,4,4,32,11,63,21,1,0,3,3,0,0,1,1,0,649,3,0,68.0,155.0,70.0,0.3333333333333333,0.2222222222222222,1,0,9,0.6666666666666666,33.38330013621087,75.0,155.0,76.0,0.16666666666666666,0.3333333333333333,1,0,6,0.8333333333333334,29.949964749447286,0,0,0,0,0,1,0,0,0,0,0,0
Glaico Franca,James Vick,0,0,0.34,0.54,0.4,0.0,0,0,3,0,0,0,2016-04-23,1,114,39,172,94,145,67,218,140,10,4,0,0,89,20,157,82,10,7,12,9,15,12,3,3,112,38,171,94,0,0,1,0,2,1,0,0,0,900,3,0,72.0,155.0,77.0,0.0,1.0,1,0,1,1.0,25.150413766196433,75.0,155.0,76.0,0.0,0.5,1,0,4,1.0,29.164185438441585,0,0,0,0,0,1,0,0,0,0,0,0
Beneil Dariush,Michael Chiesa,0,0,0.5,0.21,0.25,0.5,0,2,0,1,0,0,2016-04-16,0,53,27,52,11,53,27,53,12,4,1,2,1,33,11,45,7,7,4,4,1,13,12,3,3,47,24,47,9,6,3,5,2,0,0,0,0,0,380,3,0,70.0,155.0,72.0,0.14285714285714285,0.42857142857142855,0,1,7,0.8571428571428571,26.946480762780894,73.0,170.0,75.0,0.125,0.625,0,1,8,0.75,28.359240778386962,0,0,0,0,0,1,0,0,0,0,0,0
Diego Sanchez,Michael Chiesa,0,0,0.63,0.7,0.5,0.83,0,0,1,8,0,1,2019-07-06,1,11,7,67,47,31,23,132,98,2,1,6,5,4,1,66,46,1,0,1,1,6,6,0,0,3,1,7,4,4,2,8,5,4,4,52,38,0,900,3,0,70.0,170.0,72.0,0.3448275862068966,0.0,0,1,29,0.6206896551724138,37.512063902749546,73.0,170.0,75.0,0.08333333333333333,0.75,0,1,12,0.6666666666666666,31.579019418605448,0,0,0,0,0,0,0,1,0,0,0,0
Jim Miller,Michael Chiesa,0,0,0.46,0.43,0.0,1.0,1,1,1,3,1,0,2015-12-10,1,15,7,30,13,31,19,55,33,0,0,2,2,12,5,28,11,2,2,1,1,1,0,1,1,15,7,15,3,0,0,0,0,0,0,15,10,0,477,3,0,68.0,155.0,71.0,0.15,0.35,0,1,20,0.7,32.279923612394505,73.0,170.0,75.0,0.14285714285714285,0.5714285714285714,0,1,7,0.7142857142857143,28.008788681492433,0,0,0,0,0,1,0,0,0,0,0,0
Rafael Dos Anjos,Michael Chiesa,0,0,0.38,0.17,0.0,0.75,0,0,0,3,0,0,2020-01-25,0,36,14,51,9,52,23,107,54,1,0,8,6,23,2,45,6,4,4,5,2,9,8,1,1,36,14,49,9,0,0,1,0,0,0,1,0,0,900,3,0,68.0,170.0,70.0,0.21428571428571427,0.17857142857142858,0,1,28,0.6428571428571429,35.247814807970045,73.0,170.0,75.0,0.07692307692307693,0.6923076923076923,0,1,13,0.6923076923076923,32.13481454102411,0,0,0,0,0,0,0,1,0,0,0,0
Joe Lauzon,Michael Chiesa,0,0,0.51,0.52,0.28,0.25,0,0,1,1,1,0,2014-09-05,0,41,21,57,30,66,42,70,42,7,2,4,1,37,17,40,14,4,4,11,10,0,0,6,6,27,10,43,19,4,4,14,11,10,7,0,0,0,434,3,1,70.0,155.0,71.0,0.25,0.5,1,0,16,0.625,30.28946521831386,73.0,170.0,75.0,0.0,0.8,0,1,5,0.8,26.74661355127073,0,0,0,0,0,1,0,0,0,0,0,0
Carlos Condit,Michael Chiesa,0,0,0.2,0.45,0.0,0.8,1,1,0,3,1,0,2018-12-29,0,24,5,22,10,39,20,33,16,0,0,5,4,18,2,20,8,5,2,2,2,1,1,0,0,18,2,8,2,4,2,2,2,2,1,12,6,0,356,3,0,74.0,170.0,75.0,0.4,0.13333333333333333,1,0,15,0.4666666666666667,34.67559224350945,73.0,170.0,75.0,0.09090909090909091,0.7272727272727273,0,1,11,0.6363636363636364,31.06155499428462,0,0,0,0,0,0,0,1,0,0,0,0
Colton Smith,Michael Chiesa,0,0,0.22,0.36,0.66,0.5,1,2,1,3,0,1,2013-11-06,0,18,4,19,7,27,13,21,9,3,2,2,1,9,0,16,5,5,3,1,1,4,1,2,1,13,0,19,7,5,4,0,0,0,0,0,0,0,401,3,0,72.0,155.0,71.0,0.5,0.0,1,0,2,0.5,26.23188703395689,73.0,170.0,75.0,0.0,1.0,0,1,3,0.6666666666666666,25.91702772815321,0,0,0,0,0,1,0,0,0,0,0,0
Neil Magny,Jingliang Li,0,0,0.53,0.25,0.57,0.66,0,0,2,0,0,0,2020-03-07,1,139,74,62,16,188,123,65,16,7,4,3,2,118,56,50,11,15,12,3,1,6,6,9,4,96,34,53,13,20,18,9,3,23,22,0,0,0,900,3,1,75.0,170.0,80.0,0.35,0.2,1,0,20,0.7,32.594782918198185,72.0,170.0,71.0,0.5,0.08333333333333333,1,0,12,0.75,31.965064306590826,0,0,0,0,0,0,0,1,0,0,0,0
Jake Matthews,Jingliang Li,2,0,0.49,0.32,0.5,0.0,1,0,4,0,0,1,2018-02-10,0,127,63,152,49,156,89,163,56,4,2,1,0,121,61,134,35,2,0,4,4,4,2,14,10,87,38,132,40,4,1,6,4,36,24,14,5,0,900,3,1,71.0,170.0,73.0,0.25,0.5,1,0,8,0.625,23.48029049193344,72.0,170.0,71.0,0.5,0.125,1,0,8,0.75,29.895206609307515,0,0,0,0,0,0,0,1,0,0,0,0
Nordine Taleb,Jingliang Li,0,0,0.57,0.29,0.5,0.25,0,0,0,0,0,0,2014-10-04,0,115,66,147,43,141,92,165,57,4,2,8,2,96,49,118,22,9,7,4,2,10,10,25,19,107,61,143,40,6,5,4,3,2,0,0,0,0,900,3,1,73.0,170.0,74.0,0.0,0.0,1,0,1,1.0,33.31759036804315,72.0,170.0,71.0,0.0,0.0,1,0,1,1.0,26.541270525746594,0,0,0,0,0,0,0,1,0,0,0,0
Keita Nakamura,Jingliang Li,1,1,0.45,0.55,0.0,1.0,1,0,1,1,0,0,2015-09-26,0,87,40,142,79,138,85,151,88,2,0,1,1,81,36,117,61,4,2,17,11,2,2,8,7,74,29,124,67,4,3,2,0,9,8,16,12,0,737,3,1,71.0,170.0,73.0,0.0,0.0,0,1,3,0.0,31.346297323011424,72.0,170.0,71.0,0.3333333333333333,0.0,1,0,3,0.6666666666666666,27.51870332724149,0,0,0,0,0,0,0,1,0,0,0,0
Neil Magny,Santiago Ponzinibbio,0,2,0.28,0.44,0.0,0.0,0,0,0,0,0,0,2018-11-17,0,251,72,177,79,251,72,179,81,2,0,0,0,219,51,144,51,14,9,10,7,18,12,23,21,245,70,172,74,2,0,2,2,4,2,3,3,0,1056,5,0,75.0,170.0,80.0,0.3157894736842105,0.21052631578947367,1,0,19,0.7368421052631579,31.291539182871652,72.0,170.0,73.0,0.5,0.0,1,0,10,0.8,32.14302826204508,0,0,0,0,0,0,0,1,0,0,0,0
Court McGee,Santiago Ponzinibbio,0,1,0.36,0.52,0.0,0.0,0,0,0,0,0,0,2016-04-16,0,95,35,73,38,98,37,74,39,4,0,0,0,78,26,65,34,10,4,4,0,7,5,4,4,94,34,58,31,1,1,10,4,0,0,5,3,0,255,3,0,71.0,170.0,75.0,0.0,0.2222222222222222,1,0,9,0.6666666666666666,31.343559416004435,72.0,170.0,73.0,0.6,0.0,1,0,5,0.6,29.55570614044094,0,0,0,0,0,0,0,1,0,0,0,0
Gunnar Nelson,Santiago Ponzinibbio,0,1,0.71,0.58,0.0,0.0,0,0,0,0,0,0,2017-07-16,0,7,5,12,7,7,5,12,7,0,0,0,0,6,4,12,7,0,0,0,0,1,1,0,0,7,5,9,4,0,0,0,0,0,0,3,3,0,82,5,0,71.0,170.0,72.0,0.0,0.6666666666666666,0,0,9,0.7777777777777778,28.96705613393841,72.0,170.0,73.0,0.5,0.0,1,0,8,0.75,30.8041917356277,0,0,0,0,0,0,0,1,0,0,0,0
Nordine Taleb,Santiago Ponzinibbio,0,1,0.39,0.3,0.0,0.0,0,0,0,2,0,0,2017-02-19,0,121,48,171,53,130,57,183,65,0,0,0,0,67,15,156,42,23,8,9,5,31,25,6,6,121,48,160,48,0,0,0,0,0,0,11,5,0,900,3,0,73.0,170.0,74.0,0.2,0.2,1,0,5,0.8,35.69683155711616,72.0,170.0,73.0,0.5714285714285714,0.0,1,0,7,0.7142857142857143,30.40171940560039,0,0,0,0,0,0,0,1,0,0,0,0
Diego Sanchez,Craig White,0,1,0.59,0.42,0.75,0.0,0,1,5,0,0,0,2018-09-08,0,77,46,42,18,124,82,94,64,4,3,0,0,65,34,39,16,12,12,3,2,0,0,0,0,8,3,17,8,1,1,1,1,68,42,24,9,0,900,3,1,70.0,170.0,72.0,0.3333333333333333,0.0,0,1,27,0.5925925925925926,36.687953893646004,74.0,170.0,76.0,1.0,0.0,1,0,1,0.0,28.189490543953674,0,0,0,0,0,0,0,1,0,0,0,0
Neil Magny,Rafael Dos Anjos,0,0,0.2,0.81,0.0,0.0,0,1,0,3,0,0,2017-09-09,0,5,1,16,13,9,5,21,17,0,0,0,0,3,0,14,11,1,1,1,1,1,0,1,1,5,1,1,1,0,0,0,0,0,0,15,12,0,223,3,0,75.0,170.0,80.0,0.3125,0.1875,1,0,16,0.75,30.103287541838643,68.0,170.0,70.0,0.2727272727272727,0.13636363636363635,0,1,22,0.6818181818181818,32.87131152590402,0,0,0,0,0,0,0,1,0,0,0,0
Anthony Pettis,Rafael Dos Anjos,0,0,0.33,0.52,0.0,0.9,0,0,0,5,0,0,2015-03-14,0,162,54,171,90,205,96,233,144,1,0,10,9,141,38,113,44,16,11,37,27,5,5,21,19,158,53,124,58,3,1,17,11,1,0,30,21,1,1500,5,0,70.0,155.0,72.0,0.3333333333333333,0.3333333333333333,1,0,6,0.8333333333333334,28.126518682792938,68.0,170.0,70.0,0.23529411764705882,0.17647058823529413,0,1,17,0.7058823529411765,30.37981614954448,0,0,0,0,0,1,0,0,0,0,0,0
Donald Cerrone,Rafael Dos Anjos,0,1,0.5,0.35,1.0,0.33,0,0,1,0,0,0,2013-08-28,0,80,40,109,39,83,43,128,58,1,1,6,2,34,9,78,21,34,21,25,14,12,10,6,4,77,37,91,30,3,3,1,1,0,0,17,8,0,900,3,0,73.0,155.0,73.0,0.3333333333333333,0.2222222222222222,1,0,9,0.7777777777777778,30.41814684764232,68.0,170.0,70.0,0.16666666666666666,0.25,0,1,12,0.6666666666666666,28.838374504609952,0,0,0,0,0,1,0,0,0,0,0,0
Robbie Lawler,Rafael Dos Anjos,0,0,0.4,0.59,0.0,0.28,0,0,0,1,0,0,2017-12-16,0,212,86,291,172,267,137,343,219,0,0,7,2,171,53,199,100,40,32,64,48,1,1,28,24,159,48,203,104,53,38,78,58,0,0,10,10,0,1500,5,0,71.0,170.0,74.0,0.4444444444444444,0.1111111111111111,0,1,18,0.7222222222222222,35.743375976234965,68.0,170.0,70.0,0.2608695652173913,0.17391304347826086,0,1,23,0.6956521739130435,33.139626412588896,0,0,0,0,0,0,0,1,0,0,0,0
Clay Guida,Rafael Dos Anjos,0,0,0.21,0.26,0.33,0.25,0,0,3,0,0,0,2010-08-07,0,90,19,64,17,123,47,76,29,6,2,4,1,80,10,51,11,4,3,5,3,6,6,8,3,79,11,60,13,5,4,3,3,6,4,1,1,0,711,3,1,67.0,155.0,70.0,0.09090909090909091,0.36363636363636365,1,0,11,0.5454545454545454,28.663148456162688,68.0,170.0,70.0,0.2,0.2,0,1,5,0.6,25.78013237780379,0,0,0,0,0,1,0,0,0,0,0,0
Tarec Saffiedine,Rafael Dos Anjos,0,0,0.43,0.51,1.0,0.2,0,1,1,0,0,0,2017-06-17,0,139,60,158,81,151,71,169,91,1,1,5,1,112,34,99,35,15,14,49,37,12,12,10,9,119,44,125,56,20,16,26,20,0,0,7,5,0,900,3,0,70.0,170.0,70.0,0.2,0.0,0,0,5,0.4,30.7795505725648,68.0,170.0,70.0,0.2857142857142857,0.14285714285714285,0,1,21,0.6666666666666666,32.64132733731699,0,0,0,0,0,0,0,1,0,0,0,0
Benson Henderson,Rafael Dos Anjos,0,1,0.37,0.6,0.0,0.0,0,0,0,0,0,0,2014-08-23,0,27,10,30,18,27,10,30,18,1,0,0,0,18,3,22,11,6,4,5,4,3,3,3,3,27,10,25,15,0,0,2,2,0,0,3,1,0,151,5,0,69.0,170.0,70.0,0.0,0.2,0,1,10,0.9,30.768598944536848,68.0,170.0,70.0,0.2,0.2,0,1,15,0.6666666666666666,29.824021027125813,0,0,0,0,0,1,0,0,0,0,0,0
Gleison Tibau,Rafael Dos Anjos,0,0,0.43,0.26,0.5,0.0,0,0,0,0,0,0,2011-11-19,0,128,56,96,25,136,64,110,39,4,2,8,0,117,45,77,13,10,10,9,6,1,1,10,6,123,53,85,18,4,3,11,7,1,0,0,0,0,900,3,1,70.0,155.0,71.0,0.14285714285714285,0.2857142857142857,0,1,14,0.6428571428571429,28.118304961771972,68.0,170.0,70.0,0.2857142857142857,0.2857142857142857,0,1,7,0.5714285714285714,27.0642107640814,0,0,0,0,0,1,0,0,0,0,0,0
Mark Bocek,Rafael Dos Anjos,0,0,0.32,0.4,0.0,0.8,1,0,0,2,0,0,2012-11-17,0,59,19,134,54,73,33,172,90,11,0,5,4,38,4,103,33,6,3,21,14,15,12,10,7,47,12,90,26,12,7,30,20,0,0,14,8,0,900,3,0,68.0,155.0,75.0,0.09090909090909091,0.45454545454545453,1,0,11,0.6363636363636364,31.067030808298597,68.0,170.0,70.0,0.2,0.3,0,1,10,0.6,28.060808914625216,0,0,0,0,0,1,0,0,0,0,0,0
